k,n_clusters,inertia,silhouette,calinski_harabasz,davies_bouldin
2,2,4209.363612184478,0.17446682948049594,35.12485274571784,2.0900095451104166
3,3,3640.0158473524325,0.1786393176826581,34.037928048974685,2.0277601969950396
4,4,3122.252281200651,0.22895277156641336,36.03420096671282,1.6352655939410272
5,5,2661.5455868168765,0.259897643979372,39.09659901832114,1.4338844855321087
6,6,2332.009482936506,0.27634987924637816,40.410671861910004,1.3812777070698363
7,7,2226.7145181698997,0.2701092624162922,36.4287372258671,1.3740880123277355
8,8,2140.9741404229844,0.22663610743056373,33.271399915763425,1.4844257660173983
